t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
32671359,-0.828394,-0.134075,9.797073,0.000000,0.017028,-0.005321,37.350,1.200,107.250,25.27,22.97,97172.55,351.602,7.661446,-0.957681,5.746084
32704359,-0.852336,-0.110133,9.816227,-0.002128,0.005321,-0.003193,39.450,0.750,108.150,24.88,22.97,97172.57,351.600,5.746084,6.703765,12.449849
32738359,-0.766145,-0.114922,9.773131,0.001064,0.015963,-0.004257,38.700,1.050,106.800,25.27,22.97,97172.90,351.571,6.703765,-0.957681,8.619126
32770870,-0.890643,-0.071826,9.811439,0.002128,0.011706,-0.003193,37.200,0.750,107.550,25.46,22.97,97173.34,351.535,7.661446,6.703765,11.492168
32804359,-0.766145,-0.148441,9.811439,0.000000,0.011706,-0.004257,38.250,-0.300,108.900,25.31,22.97,97173.51,351.519,6.703765,-0.957681,12.449849
32838359,-0.818817,-0.090980,9.806650,-0.003193,0.009578,-0.004257,37.200,0.750,107.550,25.27,22.97,97173.46,351.523,11.492168,1.915361,11.492168
32871359,-0.814029,-0.124498,9.758766,0.000000,0.009578,-0.004257,37.050,0.150,106.950,25.46,22.97,97173.20,351.545,11.492168,9.576807,11.492168
32904359,-0.857124,-0.119710,9.844957,-0.005321,0.012771,0.003193,36.900,1.500,108.900,25.12,22.97,97173.04,351.559,8.619126,-0.957681,10.534488
32938364,-0.881066,-0.110133,9.821015,-0.004257,0.010642,0.000000,38.100,0.450,107.250,25.31,22.97,97173.43,351.526,1.915361,-1.915361,12.449849
32971359,-0.818817,-0.105345,9.777920,-0.003193,0.008514,0.002128,37.800,0.150,106.200,25.27,22.97,97173.34,351.535,16.280571,1.915361,6.703765
33004359,-0.804452,-0.043096,9.816227,-0.007450,0.010642,0.001064,37.200,0.000,108.150,25.22,22.97,97172.79,351.581,5.746084,-0.957681,13.407530
33038359,-0.833182,-0.143652,9.821015,-0.001064,0.010642,-0.001064,39.300,-1.650,106.650,25.41,22.97,97172.74,351.586,9.576807,5.746084,9.576807
33071359,-0.794875,-0.081403,9.758766,-0.004257,0.012771,0.002128,38.250,0.300,107.850,25.27,22.97,97172.48,351.607,7.661446,5.746084,12.449849
33104359,-0.814029,-0.086191,9.801862,-0.002128,0.006385,0.001064,39.000,0.750,107.850,25.22,22.97,97172.58,351.600,7.661446,-0.957681,11.492168
33138359,-0.833182,-0.134075,9.825804,0.000000,0.012771,-0.001064,38.250,1.050,107.550,25.27,22.97,97172.37,351.617,10.534488,2.873042,4.788404
33171359,-0.804452,-0.090980,9.821015,-0.003193,0.012771,0.002128,37.950,1.050,107.550,25.22,22.97,97172.85,351.576,13.407530,5.746084,8.619126
33204359,-0.861913,-0.100556,9.821015,-0.005321,0.010642,0.002128,37.050,1.200,106.650,25.31,22.97,97172.96,351.566,9.576807,0.957681,11.492168
33238359,-0.866701,-0.090980,9.821015,-0.001064,0.008514,-0.001064,38.700,-0.750,107.550,25.12,22.97,97172.23,351.630,14.365211,3.830723,11.492168
33271359,-0.828394,-0.158017,9.835381,-0.004257,0.013835,-0.001064,37.650,1.500,106.350,25.31,22.97,97173.00,351.563,11.492168,2.873042,19.153614
33304359,-0.799663,-0.114922,9.811439,-0.006385,0.010642,0.000000,37.800,-0.450,108.000,25.27,22.97,97173.59,351.512,6.703765,0.957681,12.449849
33338359,-0.833182,-0.081403,9.797073,-0.007450,0.009578,-0.001064,37.050,1.200,107.700,24.93,22.97,97173.01,351.562,5.746084,4.788404,12.449849
33371359,-0.799663,-0.062249,9.792285,-0.006385,0.010642,0.000000,38.100,2.100,108.000,25.27,22.97,97173.52,351.518,11.492168,7.661446,6.703765
