t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
617748010,9.715671,-0.22026655,-0.033518825,-0.009578027,0.011706477,0.006385351,10.2,32.85,55.2,28.380117,25.82997,85795.766,1381.4596,-4.7884035,5.746084,5.746084
617781010,9.734824,-0.21068975,-0.033518825,-0.007449576,0.013834927,0.006385351,9.45,32.85,55.2,28.09258,25.829786,85795.21,1381.5126,-4.7884035,3.8307228,0
617880010,9.801862,-0.22984336,0.095768064,-0.006385351,0.008513802,0.007449576,10.35,30.75,55.35,27.75712,25.83041,85793.62,1381.6638,0.9576807,5.746084,7.6614456
617913010,9.701305,-0.20111294,-0.04309563,-0.012770702,0.012770702,0.0031926755,10.35,32.55,54.6,28.428041,25.830557,85793.83,1381.6438,-0.9576807,9.576807,0.9576807
617946012,9.782708,-0.22026655,-0.01436521,-0.010642252,0.011706477,0,9,31.95,54.45,28.428041,25.830519,85794.25,1381.6035,3.8307228,8.619126,9.576807
617979010,9.878476,-0.18195933,-0.038307227,-0.010642252,0.018091828,0.005321126,10.05,31.8,53.1,28.140503,25.83094,85794.23,1381.6057,-0.9576807,6.703765,3.8307228
618012012,9.864111,-0.12928689,0,-0.009578027,0.015963377,0.0021284504,8.85,32.25,56.1,28.380117,25.830374,85793.44,1381.6812,-5.746084,0.9576807,0.9576807
618045007,9.792285,-0.20590134,0.023942016,-0.007449576,0.017027603,0,9.3,31.5,54.3,28.380117,25.830227,85793.49,1381.6759,-0.9576807,1.9153614,0.9576807
618078012,9.662998,-0.16759412,0.033518825,-0.006385351,0.017027603,0.004256901,11.4,33.3,54.3,28.380117,25.831015,85793.72,1381.654,0.9576807,1.9153614,10.534488
618123976,9.907207,-0.22026655,0.009576807,-0.007449576,0.011706477,0.008513802,9.6,33,53.85,28.284273,25.830427,85793.35,1381.6892,-0.9576807,6.703765,8.619126
618156115,9.940725,-0.25857377,0,-0.011706477,0.008513802,0.0010642252,9.75,31.95,54.45,28.475964,25.827496,85794.016,1381.6259,-1.9153614,4.7884035,0
618189010,9.868899,-0.18195933,0.062249243,-0.011706477,0.013834927,0,10.35,31.5,56.4,28.09258,25.82515,85794.34,1381.5948,-0.9576807,6.703765,7.6614456
618222012,9.682152,-0.17238252,-0.01436521,-0.006385351,0.011706477,0.0031926755,9.3,33,55.35,28.140503,25.824417,85794.51,1381.5793,-4.7884035,5.746084,11.492168
618255010,9.80665,-0.31124622,0,-0.006385351,0.011706477,0.009578027,9.6,33.3,54.6,28.284273,25.82372,85794.61,1381.5696,-4.7884035,-0.9576807,4.7884035
618288012,9.854534,-0.22026655,-0.033518825,-0.008513802,0.014899152,0.005321126,9.75,33.6,54.45,28.380117,25.824509,85795.516,1381.4833,-2.873042,4.7884035,8.619126
618321010,9.902418,-0.14844051,0.023942016,-0.011706477,0.012770702,0.004256901,8.7,33.9,54.45,28.23635,25.82526,85795.23,1381.5109,-2.873042,-0.9576807,12.449849
618354012,9.801862,-0.16280572,-0.009576807,-0.008513802,0.014899152,0.0010642252,9.75,33.6,54.75,28.57181,25.825663,85795.12,1381.5212,-0.9576807,7.6614456,10.534488
618387010,9.720459,-0.17717093,-0.019153614,-0.008513802,0.010642252,0.007449576,10.35,33,53.85,28.284273,25.826561,85795.88,1381.4481,-3.8307228,1.9153614,2.873042
618420010,9.821015,-0.23463176,-0.02873042,-0.006385351,0.010642252,0.005321126,9.6,33,54.6,28.284273,25.826653,85795.61,1381.474,-5.746084,5.746084,7.6614456
618453014,9.92636,-0.18674773,0.019153614,-0.006385351,0.019156054,0.0031926755,8.85,33.3,54.6,28.044659,25.827587,85794.86,1381.5454,-4.7884035,6.703765,14.365211
618487482,9.916783,-0.20590134,0.062249243,-0.005321126,0.017027603,0.0031926755,9.45,33.6,54.45,28.140503,25.82845,85795.055,1381.527,-0.9576807,1.9153614,8.619126
618520013,9.797073,-0.1436521,0.01436521,-0.011706477,0.011706477,0,10.5,33.15,54.75,28.23635,25.828358,85795.92,1381.4441,-1.9153614,2.873042,8.619126
618553012,9.730036,-0.18674773,-0.0047884034,-0.007449576,0.013834927,0.0031926755,10.65,33,54.6,28.09258,25.828724,85795.94,1381.443,-7.6614456,0,1.9153614
618586010,9.878476,-0.18674773,-0.047884032,-0.008513802,0.015963377,0.004256901,9,32.4,54.45,28.044659,25.828999,85795.07,1381.5258,1.9153614,0.9576807,5.746084
618619012,9.868899,-0.22984336,-0.01436521,-0.008513802,0.015963377,-0.0021284504,9.3,31.5,54.9,28.57181,25.82876,85794.625,1381.5684,-2.873042,3.8307228,8.619126
618652010,9.835381,-0.19632454,0.062249243,-0.007449576,0.010642252,0.0031926755,9.3,32.55,54.6,27.90089,25.829035,85795.11,1381.5217,-0.9576807,5.746084,5.746084
618685010,9.720459,-0.19153613,0,-0.007449576,0.008513802,0.007449576,9,32.85,54.45,28.140503,25.828943,85794.54,1381.5764,-2.873042,7.6614456,6.703765
618718012,9.768343,-0.20111294,0.01436521,-0.005321126,0.013834927,0.006385351,10.2,31.95,53.7,28.140503,25.829018,85794.58,1381.5724,0,10.534488,3.8307228
618751010,9.907207,-0.2777274,0.0047884034,-0.009578027,0.012770702,0.004256901,9.3,33.75,53.1,27.948812,25.82878,85794.41,1381.5885,-7.6614456,2.873042,3.8307228
618784010,9.907207,-0.12449849,0,-0.006385351,0.017027603,0.004256901,10.2,33.6,54.75,28.140503,25.829035,85794.65,1381.566,-0.9576807,7.6614456,3.8307228
618817012,9.749189,-0.23942018,0.05267244,-0.008513802,0.014899152,0.0031926755,10.05,32.55,54.9,28.140503,25.829823,85794.516,1381.5787,-6.703765,10.534488,7.6614456
618850010,9.682152,-0.22026655,0.038307227,-0.008513802,0.009578027,0,8.7,32.85,53.4,28.284273,25.82997,85794.91,1381.5414,-1.9153614,5.746084,8.619126
618883010,9.811439,-0.22984336,0.038307227,-0.007449576,0.012770702,0.006385351,9,32.4,53.7,28.140503,25.830519,85794.71,1381.5603,-0.9576807,7.6614456,3.8307228
618916012,9.92636,-0.21547815,-0.01436521,-0.006385351,0.011706477,0.005321126,8.7,32.4,54.75,28.09258,25.830648,85795.09,1381.5234,-3.8307228,3.8307228,2.873042
618949010,9.792285,-0.18195933,0.01436521,-0.007449576,0.017027603,0,9.75,33.6,54.45,28.475964,25.831179,85794.445,1381.5851,-1.9153614,5.746084,3.8307228
618982012,9.734824,-0.19632454,-0.08619126,-0.005321126,0.011706477,0.005321126,10.65,33.3,52.8,28.284273,25.830978,85795,1381.5321,-0.9576807,-0.9576807,0
619015010,9.677363,-0.20111294,0.047884032,-0.008513802,0.015963377,0.007449576,9.6,32.55,54.9,28.380117,25.831142,85795.05,1381.5281,0.9576807,-0.9576807,0.9576807
619048010,9.921572,-0.25857377,0.033518825,-0.012770702,0.011706477,0.005321126,10.2,33.6,54,28.380117,25.830666,85795.69,1381.4672,-4.7884035,2.873042,4.7884035
619081010,9.916783,-0.22984336,-0.047884032,-0.010642252,0.015963377,0.005321126,10.35,31.8,54.6,28.475964,25.831032,85795.44,1381.4907,-6.703765,3.8307228,8.619126
619126988,9.825804,-0.16759412,-0.009576807,-0.006385351,0.011706477,0.005321126,10.5,32.4,54.45,28.284273,25.831326,85795.26,1381.5079,-3.8307228,7.6614456,22.026655
