t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
35320011,9.773131,0.7182605,0.1340753,0.0031926755,-0.048954356,-0.090459146,7.35,51.75,27.9,27.75712,25.580133,92726.59,741.8096,-2.873042,5.746084,12.449849
35353011,9.682152,0.6895301,0.16759412,-0.005321126,-0.045761682,-0.07023886,7.8,52.8,27.9,27.852966,25.580849,92727.96,741.68744,-4.7884035,1.9153614,9.576807
35386011,9.706094,0.5602432,0.11492168,-0.0010642252,-0.04150478,-0.053211257,7.65,51.45,29.55,27.75712,25.581068,92728.03,741.68097,-1.9153614,3.8307228,0
35419011,9.830592,0.48362875,0.10055647,-0.006385351,-0.024477178,-0.04150478,6,52.8,27.9,27.852966,25.581104,92728.36,741.6518,0.9576807,6.703765,3.8307228
35452011,9.80665,0.37349546,0.02873042,-0.0010642252,-0.012770702,-0.03299098,7.95,53.85,27,27.709198,25.580976,92727.55,741.72473,-8.619126,2.873042,7.6614456
35485011,9.739613,0.5363012,0.16759412,0,-0.006385351,-0.023412954,8.55,53.25,28.65,27.852966,25.581326,92727.766,741.7048,-2.873042,4.7884035,0
35518014,9.873688,0.5363012,0.29688102,-0.005321126,-0.019156054,-0.012770702,7.05,53.55,28.2,27.709198,25.580996,92726.78,741.7928,-0.9576807,-0.9576807,2.873042
35551007,9.830592,0.44532153,0.15322891,-0.009578027,-0.024477178,-0.020220278,5.55,52.8,28.65,27.421661,25.581049,92726.25,741.84033,-5.746084,3.8307228,16.280571
35584010,9.744401,0.4357447,0.038307227,-0.007449576,-0.015963377,-0.020220278,7.65,52.65,28.8,27.709198,25.581379,92725.195,741.9349,-4.7884035,2.873042,8.619126
35617011,9.581595,0.9672575,-0.5602432,-0.008513802,0.014899152,0.013834927,7.2,53.4,28.5,27.852966,25.581617,92725.56,741.9019,2.873042,2.873042,6.703765
51929010,9.77792,-0.29209262,-0.18674773,-0.036183655,-0.30436838,-0.027669854,4.5,51.3,26.1,27.948812,25.5724,92726.27,741.8382,-0.9576807,2.873042,7.6614456
51962011,9.89763,-0.37828386,-0.63206923,-0.020220278,-0.30968952,-0.058532387,6.75,51.75,26.4,27.75712,25.571667,92726.54,741.8144,-5.746084,1.9153614,0.9576807
51995014,9.878476,-0.25857377,-0.94810385,0.023412954,-0.28201967,-0.08726646,6.3,50.1,26.1,28.044659,25.571556,92726.54,741.8144,-2.873042,9.576807,5.746084
52028007,9.639056,0,-1.6232687,0.020220278,-0.2320011,-0.081945345,6.15,49.95,26.25,28.044659,25.571758,92727.33,741.7442,-1.9153614,4.7884035,13.40753
52061010,9.854534,0.21547815,-1.3503298,-0.053211257,-0.14899153,-0.091523364,6.9,49.95,23.4,27.75712,25.572216,92727.414,741.7361,-2.873042,2.873042,6.703765
52094011,9.744401,0.019153614,-1.4796166,-0.11067942,-0.10748675,-0.093651816,7.2,52.2,23.7,27.75712,25.5724,92727.15,741.7598,-1.9153614,7.6614456,1.9153614
52127011,9.753978,0.08619126,-0.8714894,-0.17985405,-0.08088111,-0.093651816,6.9,51.9,24.9,27.75712,25.5724,92727.06,741.7674,-1.9153614,-0.9576807,4.7884035
52160011,9.710882,0.272939,-0.545878,-0.16814758,-0.10322984,-0.09790871,6.3,51.75,24.6,27.517508,25.572107,92725.914,741.87006,-1.9153614,2.873042,2.873042
